monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
4099,2667,0,14.5,0,4,412.29999,38,1,0,4099,2667,TRUE,1,0,1
1400,877,1,10.5,0,4,659.78003,41,1,0,1400,877,TRUE,1,0,1
2500,1550,1,12,0,4,536.77002,44,1,0,2500,1550,TRUE,1,0,1
4100,2500,0,12,0,4,863.26001,53,1,0,4100,2500,TRUE,1,0,1
3600,2300,1,10.5,0,4,1162.4301,49,1,0,3600,2300,TRUE,1,0,1
450,380,0,12,1,4,1191.8101,24,1,0,450,380,TRUE,1,0,1
880,810,1,13,1,4,1060.12,22,1,0,880,810,TRUE,1,0,1
4000,2000,1,14,0,4,4339.9502,39,1,0,4000,2000,TRUE,1,0,1
3700,2700,1,14,0,3,2198.8601,40,1,0,3700,2700,TRUE,1,0,1
420,420,0,10.5,0,3,1298.3,45,1,0,420,420,TRUE,1,0,1
2400,1600,0,9,1,3,3101.49,36,1,0,2400,1600,TRUE,1,0,1
940,720,1,16,1,3,2753.29,42,1,0,940,720,TRUE,1,0,1
NA,NA,0,13,1,2,3043.73,26,0,0,0,0,FALSE,1,0,1
NA,NA,1,10.5,1,3,4098.0601,47,0,0,0,0,FALSE,1,0,1
950,760,0,7,1,3,5441.79,23,1,0,950,760,TRUE,1,0,1
NA,NA,1,10,1,3,8123.73,21,0,0,0,0,FALSE,1,0,1
300,300,1,10.5,0,5,1906.33,53,1,0,300,300,TRUE,1,0,1
3100,2300,0,10.5,0,4,703.04999,42,1,0,3100,2300,TRUE,1,0,1
NA,NA,1,12,0,4,2028.33,42,0,0,0,0,FALSE,1,0,1
2500,1700,0,10.5,0,4,8334.1797,39,1,0,2500,1700,TRUE,1,0,1
3800,2500,0,10.5,0,2,719.35999,48,1,0,3800,2500,TRUE,1,0,1
1800,1400,0,9,0,2,750.40002,55,1,0,1800,1400,TRUE,1,0,1
2300,1500,1,10.5,0,2,654.63,54,1,0,2300,1500,TRUE,1,0,1
2000,1600,1,10.5,1,2,1170.77,26,1,0,2000,1600,TRUE,1,0,1
2500,1950,0,10.5,0,2,7366.4399,29,1,0,2500,1950,TRUE,1,0,1
1890,1360,0,9,1,2,1176.14,39,1,0,1890,1360,TRUE,1,0,1
2300,1600,0,10.5,0,2,181.63,63,1,0,2300,1600,TRUE,1,0,1
2700,1900,0,9,0,3,536.58002,32,1,0,2700,1900,TRUE,1,0,1
NA,NA,1,12,0,3,428.03,27,0,0,0,0,FALSE,1,0,1
NA,NA,0,9,0,3,3620.77,65,0,0,0,0,FALSE,1,0,1
2600,1700,1,7,1,3,2529.6399,32,1,0,2600,1700,TRUE,1,0,1
NA,NA,1,7,0,3,4247.8101,30,0,0,0,0,FALSE,1,0,1
2300,1800,0,9,0,4,1520.67,31,1,0,2300,1800,TRUE,1,0,1
NA,NA,1,10.5,0,4,1193.76,31,0,0,0,0,FALSE,1,0,1
300,300,1,7,1,3,9695.8398,39,1,0,300,300,TRUE,1,0,1
NA,NA,1,7,0,3,7424.8701,60,0,0,0,0,FALSE,1,0,1
3200,1900,0,12,0,2,7284.9702,34,1,0,3200,1900,TRUE,1,0,1
2400,1400,1,13.5,0,2,4833.4302,35,1,0,2400,1400,TRUE,1,0,1
300,300,1,14,0,4,1173.63,42,1,0,300,300,TRUE,1,0,1
4000,2698,0,18,0,4,3135.8799,40,1,0,4000,2698,TRUE,1,0,1
3700,3500,0,10.5,0,3,3686.95,32,1,0,3700,3500,TRUE,1,0,1
NA,NA,1,11,0,3,3584.03,26,0,0,0,0,FALSE,1,0,1
2600,1890,0,10.5,0,2,7579.1401,50,1,0,2600,1890,TRUE,1,0,1
850,650,1,9,0,4,1978.52,38,1,0,850,650,TRUE,1,0,1
2508,2192,0,18,0,4,1624.66,39,1,0,2508,2192,TRUE,1,0,1
2360,1304,1,9,0,4,512.91998,42,1,0,2360,1304,TRUE,1,0,1
NA,NA,0,9,0,4,569.63,47,0,0,0,0,FALSE,1,0,1
600,560,0,10,1,4,621.46002,20,1,0,600,560,TRUE,1,0,1
450,388,1,10.5,1,1,3224.0701,62,1,0,450,388,TRUE,1,0,1
3901,2100,1,12,1,2,2805.76,48,1,0,3901,2100,TRUE,1,0,1
NA,NA,1,14,0,3,327.41,31,0,0,0,0,FALSE,1,0,1
1250,999,1,12,1,1,114.89,57,1,0,1250,999,TRUE,1,0,1
855,780,0,13,1,1,194.84,24,1,0,855,780,TRUE,1,0,1
3600,2400,0,10.5,0,4,2329.8201,41,1,0,3600,2400,TRUE,1,0,1
2700,1670,1,10,0,4,3886.6499,38,1,0,2700,1670,TRUE,1,0,1
3400,2300,1,11.5,1,1,3939.5701,31,1,0,3400,2300,TRUE,1,0,1
NA,NA,1,11.5,1,2,695.97998,34,0,0,0,0,FALSE,1,0,1
2750,1800,1,12,1,4,958.5,50,1,0,2750,1800,TRUE,1,0,1
1800,1400,0,15,1,4,699.28003,59,1,0,1800,1400,TRUE,1,0,1
2300,1800,1,11,0,2,251.86,59,1,0,2300,1800,TRUE,1,0,1
2800,1800,1,10.5,1,3,222.07001,41,1,0,2800,1800,TRUE,1,0,1
450,450,0,12,1,2,3443.9199,21,1,0,450,450,TRUE,1,0,1
447,447,0,10,1,3,335.78,18,1,0,447,447,TRUE,1,0,1
3220,2068,1,14,1,2,93.480003,48,1,0,3220,2068,TRUE,1,0,1
3600,2500,0,10.5,1,1,675.83002,58,1,0,3600,2500,TRUE,1,0,1
1799,1200,1,11,1,3,953.82001,28,1,0,1799,1200,TRUE,1,0,1
2500,1750,1,12,1,3,973.73999,56,1,0,2500,1750,TRUE,1,0,1
4500,2300,1,16,1,1,403.31,32,1,0,4500,2300,TRUE,1,0,1
